"result_title","result_url","result_summary"
"law of ukraine on ensuring civil right...的中文翻译 - 百度翻译","http://www.baidu.com/link?url=47buin21YQW2IdK2RBBT4goolAEzcszJ0xctgcxhF5jn7KLHjr-pjzR1F2jVLWCCHNwOJHvz54kMkhSOUqI9FItxE95mhjNbJefcrI0RLEUZ_m5K1t2jd3gfjvRWig2g8chF6FVny7mQgF7qrBk2k0AO39LTHP3n7dh5MArf5Rw0f4n9R2vQYOHv8y-ZaWsLYgQx4GOs8Z5zJPuMOhpYaK",""
"英国宪法内容","http://www.baidu.com/link?url=LzAJLtDHO--PyW0Vb-Q8ORNw-wzKQdnV1g8TCR-qVo5aJhq1AK7CNRM_y1rKhHsaDKecQzLb7hDb57WdvyGyN_","What is meant by “unwritten” is that it is not summarized into one single document as “the British Constitution”. The British Constitution is made up of three main ..."
"Annex A: Law of Ukraine Number 2268-VIII in English - ...","http://www.baidu.com/link?url=dIfVFT2GdAB5fHYEvWS-T8bDPTiFtd9cPVS5KAC53O1PnZzIfS46mn9L-deSnkR7VMl1WU4nAf_rhavoI3-63dC1qBOc7u84wmLRSZqsqSUslZeEQBDdwUSagOEk_YyzuTOsqNlpPxnfJmSlHu6hPkzBUO3NhWBJvDX239vnpW90VkDt64yG1O6_t27PUGX6","is determined by Law of Ukraine “On guaranteeing the rights and freedoms of citizens and the legal regime in the temporarily occupied territories of..."
"Law of Ukraine on the legal status of foreigners - 百度学术","http://www.baidu.com/link?url=Mt-wc__0XNDaK1qtqpV2vsmRsCrfCh6C4aRgLEyxeZA9jTxKkh7Ci63t3s2rrSHmlvjfcu6RWnWcc81j4yWEgGHrsoQ6ga32JES-eJ7k9f4MIrUenXlmLF5VMYgMLB2oCCIl3WTNsB-X5tFtKb7nRKLTqZW5VTlIkEg2MosvopUKmjr_wgH__1iHwIAGSfeqqqfo5WorGBgMz8LPg6Lkomlr40IvfexlUqMwwGvfU23YPtzOkXYbj-veAP25g6gYFuyQcCGorn8gUlZT9vaSb-TMjY_BYnMcJu4OC0kgpVbVpXaNihUZR1RXKT5erGHU",""
"英国法律制度-读根文库","http://www.baidu.com/link?url=PCYB9DY37vWvwWL2KEyZSd_-7SieI5-onQM-QY7FxupAluMTPRuXfbbP5RUjNP9F","- (Common Law) 1 1066 Domesday Book 2 the Court of Exchequer the Court of Common Pleas the Court of Kings Bench Writ 1 kings peace Sir Henry Maine H..."
"英国宪法内容.doc_淘豆网","http://www.baidu.com/link?url=dIfVFT2GdAB5fHYEvWS-T6b2RiXS1y8sz9ipHh1Fhr4BIcwRtH6v6GX0Grxlb-EANWbWUNeiKTmk27fXA5dGwa","英国宪法内容TheBritishConstitutionisusuallydescribedas“unwritten”.Whatismeantby“unwritten”isthatitisnotsummarizedintoonesingledocumentas“theBri..."
"英国的法院体系 - 知乎","http://www.baidu.com/link?url=pesF6laikCm-c7N1ca34MPysrMrSGjBGDkty2eYHD_J60wghHa8NUxX3Yxy262lo","所谓英国的法庭结构,对应中国的概念,其实就是“基层人民法院——初级人民法院——中级人民法院——最高法”这样的概念。那么我们从刑法(criminal law)和民法(civil law)两个维度分..."
"英国法律制度简介","http://www.baidu.com/link?url=0IZB35R1GDoonLhSip-DPaT37kcWAvfiB1rPeho53D8gx7FfNq2emfNb91n9t769T2mPJaa1u4sl2p76eANV5q","1、The Introduction to the UK Legal SWhat is law?nLaw is a system of rules, usually enforced through a set of institutions. nLaw shapes politics, e..."
"英国宪法内容.docx-原创力文档","http://www.baidu.com/link?url=twLkHjBS-o388PGLP14LHZBgkQ_0YqhJNXlRfhNG7GzqhqyHNhfybQ96bczI8LAtVZe4DaKOn2mOctayM1v5Ee8IVhx57xAXXG2bR1rbqI_","legal precedents and is interpreted in court cases by judges. Henry n reform the courts and the laws. He improved the courts of justice, introduced t..."
"Law of Ukraine ""About the Constitutional Court of Ukra...","http://www.baidu.com/link?url=WUJ3-SL8DncnhMpEc6waz-1XnT4vHyFG5eh4SRFmhuilrVlU7LRanNp6WOBQotGXCqDZi09lyhQITlC4VITyZIHZcXkU8q7RP5wTHUmFs7lgC6_Szfb6vYDrmNTfopNX",""