,,result_title,result_url,result_summary
google,0,UKRAINE DRAFT LAW ON THE PRINCIPLES OF STATE ...,https://www.venice.coe.int/webforms/documents/default.aspx?pdffile=CDL-REF(2021)055-e,and civil rights and freedoms in the temporarily occupied territories. 3. Ukraine shall compensate in full for pecuniary and non-pecuniary damages.
google,1,Annex A: Law of Ukraine Number 2268-VIII in English - GOV.UK,https://www.gov.uk/government/publications/russia-sanctions-guidance/annex-a-law-of-ukraine-number-2268-viii-in-english,"Jan 5, 2023 — In order to guarantee the state sovereignty of Ukraine in the temporarily occupied territories in Donetsk and Luhansk regions, the state ..."
google,2,On Ensuring Civil Rights and Freedoms and the Legal ...,https://www.dentons.com/en/insights/alerts/2014/april/22/legal-regime-on-temporarily-occupied-territory-of-ukraine,"Apr 22, 2014 — 1) Activities of state and local self-governance bodies created in the occupied territories in breach of Ukrainian law shall be prohibited, and ..."
google,3,Draft Law of Ukraine “On ensuring of rights and freedoms of ...,https://www.refworld.org/cgi-bin/texis/vtx/rwmain/opendocpdf.pdf?reldoc=y&docid=5d6677924,"“On ensuring of rights and freedoms of internally displaced persons”. This law under the Constitution and laws of Ukraine, international treaties of Ukraine."
google,4,Law of Ukraine on the Legal Regime on the Temporarily ...,https://india.mfa.gov.ua/en/news/2381-zakon-ukrajini-pro-zabezpechennya-prav-i-svobod-gromadyan-ta-pravovij-rezhim-na-timchasovo-okupovanij-teritoriji-ukrajini,- It foresees that citizens of Ukraine have rights for free and unrestricted entry and exit from the temporarily occupied territory upon presenting document ...
google,5,Administrative Service Delivery during War Time - OECD,https://www.oecd.org/ukraine-hub/policy-responses/administrative-service-delivery-during-war-time-23d5a973,"Oct 4, 2022 — The main law governing this topic is the Law of Ukraine “On Ensuring of Rights and Freedoms of Citizens and the Legal Regime on the ..."
google,6,News - Verkhovna Rada of Ukraine,https://www.rada.gov.ua/en/news/News/225831.html,"Jul 18, 2022 — ... Law of Ukraine ""On ensuring the rights and freedoms of citizens and the legal regime in the temporarily occupied territory of Ukraine"")."
google,7,law of ukraine - CIS Legislation,https://cis-legislation.com/document.fwx?rgn=66967,"Apr 15, 2014 — 1207-VII ""About providing the rights and freedoms of citizens and legal regime in temporarily occupied territory of Ukraine"""
google,8,ПРОЕКТ - OHCHR,https://www.ohchr.org/sites/default/files/lib-docs/HRBodies/UPR/Documents/Session28/UA/A_HRC_WG.6_28_UKR_1_Ukraine_Annex_1_E.docx,The problem of protecting human rights and freedoms is aggravated by the temporary occupation of the part of Ukrainian territory and the military aggression ...
google,9,Statement of the Ministry of Foreign Affairs of Ukraine on ...,https://m.facebook.com/UKRinUN/posts/1318780638472872/,"The Law of Ukraine “On Ensuring Civil Rights and Freedoms, and the Legal Regime on the Temporarily Occupied Territory of Ukraine” of April 15, 2014 clearly ..."
duckduckgo,0,PDF LAW OF UKRAINE On Securing the Rights and Freedoms of Citizens and the ...,https://usa.mfa.gov.ua/mediafiles/sites/usa/files/2014.05.26_Law_on_occupied_Crimea.pdf,"1. For the purposes of this Law, the temporarily occupied territory of Ukraine shall be defined as follows: 1) The land territory of the Autonomous Republic of Crimea and of the city of Sevastopol and the inland waters of Ukraine adjacent to these territories; 2) The inland waters and territorial sea of Ukraine adjacent to the Crimean"
duckduckgo,1,On Ensuring Civil Rights and Freedoms and the Legal Regime on ...,https://www.dentons.com/en/insights/alerts/2014/april/22/legal-regime-on-temporarily-occupied-territory-of-ukraine,On Ensuring Civil Rights and Freedoms and the Legal Regime on Temporarily Occupied Territory of Ukraine
duckduckgo,2,Human Rights in Ukraine,https://ukrainetrek.com/about-ukraine-overview/human-rights-in-ukraine,"According to the Constitution, Ukraine is a sovereign and independent, democratic, social, legal state. Human rights in Ukraine are human rights enshrined in Section 2 of the Constitution of Ukraine ""Rights, Freedoms and Duties of a Person and a Citizen"". A citizen of Ukraine has all rights and freedoms on its territory and has equal duties stipulated by the Constitution of Ukraine."
duckduckgo,3,On Ensuring Civil Rights and Freedoms and the Legal Regime on ...,https://www.lexology.com/library/detail.aspx?g=afbf57f5-4203-4c66-b4b5-8bd474a2112b,On Ensuring Civil Rights and Freedoms and the Legal Regime on Temporarily Occupied Territory of Ukraine Dentons UkraineApril 22 2014 On 15 April 2014 the Ukrainian Parliament...
duckduckgo,4,Ukraine: Martial Law Introduced in Response to Russian Invasion,https://www.loc.gov/item/global-legal-monitor/2022-03-03/ukraine-martial-law-introduced-in-response-to-russian-invasion/,"The Law on the Legal Regime of Martial Law, which was passed in 2015, regulates the mechanism of imposing temporary restrictions on the constitutional rights, freedoms, and legitimate interests of individuals and legal entities. (Law on the Legal Regime of Martial Law art. 1(1).) The special legal regime converts civilian authorities into military administrations at all levels of government."
duckduckgo,5,Ukraine: creates a special legal regime in the Crimea - Lexology,https://www.lexology.com/library/detail.aspx?g=7a056d06-ce07-4f50-94f9-c4f6540502b1,"On 15 April 2014 Ukrainian Parliament adopted the Law ""On Ensuring Protection of the Rights and Freedoms of Citizens and Legal Regime on the Temporarily Occupied Territory of..."
duckduckgo,6,PDF LAW ON SANCTIONS ENACTED - DLA Piper,https://www.dlapiper.com/~/media/Files/Insights/Publications/2014/09/Law_of_Ukraine_On_sanctions_Eng.pdf,"The Law ""On Ensuring the Citizen's Rights and Freedoms and the Legal Regime on the Temporarily Occupied Territory of Ukraine"", enacted on 27 April 2014 was one of the first laws called to address the situation in the country. The law regulated legal relations within territories of Ukraine, temporarily occupied"
duckduckgo,7,Ukraine: Freedom in the World 2020 Country Report | Freedom House,https://freedomhouse.org/country/ukraine/freedom-world/2020,"The constitution and a 1991 law define religious rights in Ukraine, and these are generally respected. However, smaller religious groups continue to report some discrimination. Vandalism of Jewish structures and cemeteries continues. Acknowledging one's atheism may result in discrimination."
duckduckgo,8,Ukraine: Freedom in the World 2022 Country Report | Freedom House,https://freedomhouse.org/country/ukraine/freedom-world/2022,"The numerical scores and status listed above do not reflect conditions in Crimea and Eastern Donbas, which are examined in separate reports. Freedom in the World reports assess the level of political rights and civil liberties in a given geographical area, regardless of whether they are affected by the state, nonstate actors, or foreign powers. Disputed territories are sometimes assessed separately if they meet certain criteria, including boundaries that are sufficiently stable to allow year ..."
duckduckgo,9,PDF Constitution of Ukraine,https://unece.org/fileadmin/DAM/hlm/prgm/cph/experts/ukraine/ukr.constitution.e.pdf,"Foreigners and stateless persons staying in Ukraine on legal grounds shall enjoy the same rights and freedoms and bear the same duties as citizens of Ukraine, except as restricted by the Constitution, laws, or international treaties of Ukraine. Foreigners and stateless persons may be granted asylum under the procedure established by law. Article 27."
swisscows,0,On Ensuring Civil Rights and Freedoms and the Legal Regime on ...,https://www.lexology.com/library/detail.aspx?g=afbf57f5-4203-4c66-b4b5-8bd474a2112b,On Ensuring Civil Rights and Freedoms and the Legal Regime on Temporarily Occupied Territory of Ukraine Dentons UkraineApril 22 2014 On 15 April 2014 the Ukrainian Parliament...
swisscows,1,LAW ON SANCTIONS ENACTED - DLA Piper,https://www.dlapiper.com/~/media/Files/Insights/Publications/2014/09/Law_of_Ukraine_On_sanctions_Eng.pdf,"The Law ""On Ensuring the Citizen's Rights and Freedoms and the Legal Regime on the Temporarily Occupied Territory of Ukraine"", enacted on 27 April 2014 was one of the first laws called to address the situation in the country. The law regulated legal relations within territories of Ukraine, temporarily occupied"
swisscows,2,CONSTITUTION OF UKRAINE - United States Department of Justice,https://www.justice.gov/sites/default/files/eoir/legacy/2013/11/08/constitution_14.pdf,"adopts this Constitution - Basic Law of Ukraine. Section And GENERAL BASES Article 1. Ukraine is the sovereign and independent, democratic, social, legal state. Article 2. Sovereignty of Ukraine spreads on all its territory. Ukraine is the unitary state. Territory of Ukraine within the limits of existent border is integral and inviolable."
swisscows,3,Ukraine: creates a special legal regime in the Crimea - Lexology,https://www.lexology.com/library/detail.aspx?g=7a056d06-ce07-4f50-94f9-c4f6540502b1,On 15 April 2014 Ukrainian Parliament adopted the Law “On Ensuring Protection of the Rights and Freedoms of Citizens and Legal Regime on the Temporarily Occupied Territory of...
swisscows,4,The Ukraine War and International Law,https://www.counterpunch.org/2023/02/01/the-ukraine-war-and-international-law/,
swisscows,5,Human Rights Watch calls on Ukraine to investigate landmine accusations,https://www.msn.com/en-us/news/other/human-rights-watch-calls-on-ukraine-to-investigate-landmine-accusations/ar-AA16WLCA,
swisscows,6,Human Rights Watch urges Ukraine to investigate antipersonnel mine use,https://www.devdiscourse.com/article/law-order/2336903-human-rights-watch-urges-ukraine-to-investigate-antipersonnel-mine-use,
swisscows,7,Everything you need to know about human rights in Ukraine - Amnesty ...,https://www.amnesty.org/en/location/europe-and-central-asia/ukraine/report-ukraine/,"The UN Human Rights Monitoring Mission in Ukraine (UNMMU) reported an absence of the necessary services and support for survivors of domestic violence, and noted the personal risks, including of arrest and prosecution, faced by activists defending the rights of women."
swisscows,8,Human Rights in Ukraine,https://ukrainetrek.com/about-ukraine-overview/human-rights-in-ukraine,"The current Constitution of Ukraine was adopted on June 28, 1996. According to the Constitution, Ukraine is a sovereign and independent, democratic, social, legal state. Human rights in Ukraine are human rights enshrined in Section 2 of the Constitution of Ukraine “Rights, Freedoms and Duties of a Person and a Citizen”."
swisscows,9,"Fundamental freedoms squeezed in Ukraine, Human Rights Council hears",https://news.un.org/en/story/2021/12/1107972,"15 December 2021 Human Rights The UN Human Rights Council heard on Wednesday that fundamental freedoms in Ukraine have been squeezed in Government-controlled areas, as well as across the..."
swisscows,10,On ensuring the Rights and Freedoms of Citizens and the Legal Regime on ...,http://www.jurispub.com/chapters-articles/Book-Chapters-Journal-Articles/On-ensuring-the-Rights-and-Freedoms-of-Citizens-and-the-Legal-Regime.html,"The defense and fully-fledged realization of national-cultural, social, and political rights of citizens of Ukraine, including native peoples and national minorities, is the basis of the humanitarian, social, and economic policy of the State of Ukraine with respect to the population of the temporarily occupied territory of Ukraine. Article 1 ..."
baidu,0,law of ukraine on ensuring civil right...的中文翻译 - 百度翻译,http://www.baidu.com/link?url=47buin21YQW2IdK2RBBT4goolAEzcszJ0xctgcxhF5jn7KLHjr-pjzR1F2jVLWCCHNwOJHvz54kMkhSOUqI9FItxE95mhjNbJefcrI0RLEUZ_m5K1t2jd3gfjvRWig2g8chF6FVny7mQgF7qrBk2k0AO39LTHP3n7dh5MArf5Rw0f4n9R2vQYOHv8y-ZaWsLYgQx4GOs8Z5zJPuMOhpYaK,
baidu,1,英国宪法内容,http://www.baidu.com/link?url=LzAJLtDHO--PyW0Vb-Q8ORNw-wzKQdnV1g8TCR-qVo5aJhq1AK7CNRM_y1rKhHsaDKecQzLb7hDb57WdvyGyN_,What is meant by “unwritten” is that it is not summarized into one single document as “the British Constitution”. The British Constitution is made up of three main ...
baidu,2,Annex A: Law of Ukraine Number 2268-VIII in English - ...,http://www.baidu.com/link?url=dIfVFT2GdAB5fHYEvWS-T8bDPTiFtd9cPVS5KAC53O1PnZzIfS46mn9L-deSnkR7VMl1WU4nAf_rhavoI3-63dC1qBOc7u84wmLRSZqsqSUslZeEQBDdwUSagOEk_YyzuTOsqNlpPxnfJmSlHu6hPkzBUO3NhWBJvDX239vnpW90VkDt64yG1O6_t27PUGX6,is determined by Law of Ukraine “On guaranteeing the rights and freedoms of citizens and the legal regime in the temporarily occupied territories of...
baidu,3,Law of Ukraine on the legal status of foreigners - 百度学术,http://www.baidu.com/link?url=Mt-wc__0XNDaK1qtqpV2vsmRsCrfCh6C4aRgLEyxeZA9jTxKkh7Ci63t3s2rrSHmlvjfcu6RWnWcc81j4yWEgGHrsoQ6ga32JES-eJ7k9f4MIrUenXlmLF5VMYgMLB2oCCIl3WTNsB-X5tFtKb7nRKLTqZW5VTlIkEg2MosvopUKmjr_wgH__1iHwIAGSfeqqqfo5WorGBgMz8LPg6Lkomlr40IvfexlUqMwwGvfU23YPtzOkXYbj-veAP25g6gYFuyQcCGorn8gUlZT9vaSb-TMjY_BYnMcJu4OC0kgpVbVpXaNihUZR1RXKT5erGHU,
baidu,4,英国法律制度-读根文库,http://www.baidu.com/link?url=PCYB9DY37vWvwWL2KEyZSd_-7SieI5-onQM-QY7FxupAluMTPRuXfbbP5RUjNP9F,- (Common Law) 1 1066 Domesday Book 2 the Court of Exchequer the Court of Common Pleas the Court of Kings Bench Writ 1 kings peace Sir Henry Maine H...
baidu,5,英国宪法内容.doc_淘豆网,http://www.baidu.com/link?url=dIfVFT2GdAB5fHYEvWS-T6b2RiXS1y8sz9ipHh1Fhr4BIcwRtH6v6GX0Grxlb-EANWbWUNeiKTmk27fXA5dGwa,英国宪法内容TheBritishConstitutionisusuallydescribedas“unwritten”.Whatismeantby“unwritten”isthatitisnotsummarizedintoonesingledocumentas“theBri...
baidu,6,英国的法院体系 - 知乎,http://www.baidu.com/link?url=pesF6laikCm-c7N1ca34MPysrMrSGjBGDkty2eYHD_J60wghHa8NUxX3Yxy262lo,"所谓英国的法庭结构,对应中国的概念,其实就是“基层人民法院——初级人民法院——中级人民法院——最高法”这样的概念。那么我们从刑法(criminal law)和民法(civil law)两个维度分..."
baidu,7,英国法律制度简介,http://www.baidu.com/link?url=0IZB35R1GDoonLhSip-DPaT37kcWAvfiB1rPeho53D8gx7FfNq2emfNb91n9t769T2mPJaa1u4sl2p76eANV5q,"1、The Introduction to the UK Legal SWhat is law?nLaw is a system of rules, usually enforced through a set of institutions. nLaw shapes politics, e..."
baidu,8,英国宪法内容.docx-原创力文档,http://www.baidu.com/link?url=twLkHjBS-o388PGLP14LHZBgkQ_0YqhJNXlRfhNG7GzqhqyHNhfybQ96bczI8LAtVZe4DaKOn2mOctayM1v5Ee8IVhx57xAXXG2bR1rbqI_,"legal precedents and is interpreted in court cases by judges. Henry n reform the courts and the laws. He improved the courts of justice, introduced t..."
baidu,9,"Law of Ukraine ""About the Constitutional Court of Ukra...",http://www.baidu.com/link?url=WUJ3-SL8DncnhMpEc6waz-1XnT4vHyFG5eh4SRFmhuilrVlU7LRanNp6WOBQotGXCqDZi09lyhQITlC4VITyZIHZcXkU8q7RP5wTHUmFs7lgC6_Szfb6vYDrmNTfopNX,
naver_df,0,"Texts adopted - EU Association Agreement with Ukraine - Thursday, 11 February 20",https://www.europarl.europa.eu/doceo/document/TA-9-2021-0050_EN.html,"force on 11 June 2017 of a visa-free regime for citizens of Ukraine, as a result of the amendments to... to the recommendations and activities of the Euronest Parliamentary Assembly, the Eastern Partnership Civil... fundamental freedoms, human and minority rights, and upholds the rule of law; C. whereas the 22nd EU-Ukraine..."
naver_df,1,아크로벳(pdf)Report on the human rights situation in Ukraine 16 November 2015 to 15 February - 유엔인권고등판무관,https://www.ohchr.org/sites/default/files/Documents/Countries/UA/Ukraine_13th_HRMMU_Report_3March2016.pdf,Draft law on temporarily occupied territory ................................................... 176–178 43 G. Amendments to the criminal law .................................................................. 179 43 H. Reform of the civil service ................................................................... 180 43 I....
naver_df,2,아크로벳(pdf)Elements of the China Challenge - 미국 국무부,https://www.state.gov/wp-content/uploads/2020/11/20-02832-Elements-of-China-Challenge-508.pdf,"First, the United States must secure freedom at home by preserving constitutional government, promoting prosperity, and fostering a robust civil society, all of... based on respect for human rights and fidelity to the rule of law. Fourth, the United States must reevaluate its alliance system and the panoply of international..."
